"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","ensembl_id","symbol","gene_name"
10523.5330963725,6.57834716355752,0.238539570141589,27.5775929320776,2.06636088166653e-167,3.33675955171512e-163,"ENSG00000119508.18","ENSG00000119508","NR4A3","nuclear receptor subfamily 4 group A member 3"
2995.79517842765,6.1819307420339,0.257705919294843,23.9883148937728,3.68250264237128e-127,2.97325263345057e-123,"ENSG00000185022.12","ENSG00000185022","MAFF","MAF bZIP transcription factor F"
12112.437689849,3.54327494093812,0.242375087259735,14.6189733482842,2.12581737060193e-48,1.144256630016e-44,"ENSG00000123358.20","ENSG00000123358","NR4A1","nuclear receptor subfamily 4 group A member 1"
1279.3784090461,2.3779881671477,0.187285746236379,12.6971123800653,6.13519358245792e-37,2.47677764923826e-33,"ENSG00000144136.11","ENSG00000144136","SLC20A1","solute carrier family 20 member 1"
935.427507700463,2.37539835273619,0.188170736326846,12.6236331913492,1.56434012292615e-36,5.05219286100229e-33,"ENSG00000006210.7","ENSG00000006210","CX3CL1","C-X3-C motif chemokine ligand 1"
11868.269633591,2.07172293816177,0.164417637352649,12.6003692275316,2.10158394903985e-36,5.65606293484925e-33,"ENSG00000112715.26","ENSG00000112715","VEGFA","vascular endothelial growth factor A"
874.782203201636,2.46194328292157,0.197420422744925,12.4705602829273,1.08063551571217e-35,2.49287175824573e-32,"ENSG00000117461.15","ENSG00000117461","PIK3R3","phosphoinositide-3-kinase regulatory subunit 3"
6227.91770276519,2.41789583472647,0.200314167655618,12.0705183413854,1.51179040887105e-33,3.05154894030621e-30,"ENSG00000148339.13","ENSG00000148339","SLC25A25","solute carrier family 25 member 25"
25743.8762882334,2.38924743926884,0.199612387332821,11.9694347189244,5.13774631390981e-33,9.21825860855729e-30,"ENSG00000158022.7","ENSG00000158022","TRIM63","tripartite motif containing 63"
164.940469573177,4.20140998760091,0.364255137795199,11.5342504515698,8.86559946302044e-31,1.43161700128854e-27,"ENSG00000158050.5","ENSG00000158050","DUSP2","dual specificity phosphatase 2"
383.08742950703,2.92468394894759,0.264413125371447,11.061039215958,1.93838504517988e-28,2.84554924632406e-25,"ENSG00000280007.1","ENSG00000280007",NA,NA
989.772386924042,2.08335921975846,0.190722914368392,10.9234867066594,8.90117427649582e-28,1.19780135180712e-24,"ENSG00000129993.15","ENSG00000129993","CBFA2T3","CBFA2/RUNX1 partner transcriptional co-repressor 3"
571.378455186724,2.52505693111703,0.231739665207191,10.8960929448977,1.20313266911033e-27,1.49447587236874e-24,"ENSG00000176907.5","ENSG00000176907","TCIM","transcriptional and immune response regulator"
564.973545147729,2.17400959073474,0.205361250587308,10.5862697296464,3.45070155610449e-26,3.98013776628395e-23,"ENSG00000137193.14","ENSG00000137193","PIM1","Pim-1 proto-oncogene, serine/threonine kinase"
11236.3323592675,2.36052094524015,0.227263877289046,10.3866966162771,2.8505534621406e-25,3.06871582044309e-22,"ENSG00000134107.5","ENSG00000134107","BHLHE40","basic helix-loop-helix family member e40"
5425.73774438094,1.94582743197424,0.189537857075606,10.2661677302707,1.00102466803634e-24,1.01028414621568e-21,"ENSG00000124145.6","ENSG00000124145","SDC4","syndecan 4"
141.298095618861,3.18749502574642,0.314159075296024,10.146117926859,3.44807636819162e-24,3.27526689373873e-21,"ENSG00000131979.20","ENSG00000131979","GCH1","GTP cyclohydrolase 1"
240.91794455714,2.83682765207997,0.280331691366976,10.1195396005596,4.52539268114666e-24,4.05978005639757e-21,"ENSG00000177464.5","ENSG00000177464","GPR4","G protein-coupled receptor 4"
634.140023124035,1.89993118979622,0.196565491629203,9.66563954867626,4.21975896296686e-22,3.58635093336784e-19,"ENSG00000164465.19","ENSG00000164465","DCBLD1","discoidin, CUB and LCCL domain containing 1"
882.824980782127,1.92270534364112,0.199316200203513,9.64650811965075,5.08580538191842e-22,4.10627926536093e-19,"ENSG00000164683.19","ENSG00000164683","HEY1","hes related family bHLH transcription factor with YRPW motif 1"
