"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","ensembl_id","symbol","gene_name"
11.9433387074555,-3.39154493492918,1.01111322507593,-3.35426819748549,0.000795751940419678,0.0322813726804925,"ENSG00000276409.5","ENSG00000276409","CCL14","C-C motif chemokine ligand 14"
23.9145713867812,-3.04679202897455,0.742073794804927,-4.1057803823614,4.02952186050798e-05,0.00259541287501033,"ENSG00000124253.11","ENSG00000124253","PCK1","phosphoenolpyruvate carboxykinase 1"
29.9586045896984,-3.03447924894897,0.732241369293367,-4.14409698249817,3.41155353365984e-05,0.00224856189638935,"ENSG00000145934.17","ENSG00000145934","TENM2","teneurin transmembrane protein 2"
25.849873853745,-2.64629491031073,0.765037437598274,-3.45903975447057,0.000542104884623362,0.0236592153429677,"ENSG00000172137.19","ENSG00000172137","CALB2","calbindin 2"
19.0657792365957,-2.54432780328483,0.774958149907898,-3.28318090930099,0.00102642772614604,0.0381906795433323,"ENSG00000174697.5","ENSG00000174697","LEP","leptin"
24.1157550838449,-2.33511802301674,0.632378961775045,-3.69259283462281,0.000221979269178954,0.01089520133344,"ENSG00000056998.21","ENSG00000056998","GYG2","glycogenin 2"
22.7132590167198,-2.27623096172255,0.634409275352669,-3.58795347129374,0.000333283746611249,0.0156449591287164,"ENSG00000196932.12","ENSG00000196932","TMEM26","transmembrane protein 26"
84.8175529158694,-1.91799225039848,0.358978134701343,-5.34292221445235,9.14600176446538e-08,1.10216146636259e-05,"ENSG00000187288.12","ENSG00000187288","CIDEC","cell death inducing DFFA like effector c"
322.129398472487,-1.82656882553517,0.238668450638387,-7.65316413061504,1.96093366051376e-14,7.0367014999947e-12,"ENSG00000166819.12","ENSG00000166819","PLIN1","perilipin 1"
680.589972015033,-1.82481556791506,0.209078094805597,-8.72791369948054,2.59413477279348e-18,1.44448580382997e-15,"ENSG00000099194.6","ENSG00000099194","SCD","stearoyl-CoA desaturase"
