"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","ensembl_id","symbol","gene_name"
19.7823889271808,7.46583335285525,1.3439798522107,5.55501880521107,2.77581875369513e-08,3.67409190448107e-06,"ENSG00000279685.2","ENSG00000279685","MAPT-IT1","MAPT intronic transcript 1"
10523.5330963725,6.57834716355752,0.238539570141589,27.5775929320776,2.06636088166653e-167,3.33675955171512e-163,"ENSG00000119508.18","ENSG00000119508","NR4A3","nuclear receptor subfamily 4 group A member 3"
2995.79517842765,6.1819307420339,0.257705919294843,23.9883148937728,3.68250264237128e-127,2.97325263345057e-123,"ENSG00000185022.12","ENSG00000185022","MAFF","MAF bZIP transcription factor F"
17.4443447074338,5.18025920656379,1.19193393671746,4.34609590933371,1.3858199329517e-05,0.00102183654234265,"ENSG00000008118.10","ENSG00000008118","CAMK1G","calcium/calmodulin dependent protein kinase IG"
45.0277030410394,4.99701671902975,0.667385234202277,7.48745471572002,7.02220807676903e-14,2.2234238436013e-11,"ENSG00000105523.4","ENSG00000105523","SACK1E","scaffolding CK1 anchoring protein E"
34.8485752491397,4.44804010733111,0.729052392850877,6.10112544852579,1.05324201526505e-09,1.86898374313187e-07,"ENSG00000175592.9","ENSG00000175592","FOSL1","FOS like 1, AP-1 transcription factor subunit"
164.940469573177,4.20140998760091,0.364255137795199,11.5342504515698,8.86559946302044e-31,1.43161700128854e-27,"ENSG00000158050.5","ENSG00000158050","DUSP2","dual specificity phosphatase 2"
39.0155384238193,3.73664864515935,0.570613309452443,6.54847789783421,5.81264573711959e-11,1.20336670978214e-08,"ENSG00000271086.7","ENSG00000271086","STX17-DT","STX17 divergent transcript"
183.508798747172,3.55197217797621,0.996592038141596,3.56411855808098,0.000365080926239353,0.017038516754084,"ENSG00000179388.9","ENSG00000179388","EGR3","early growth response 3"
12112.437689849,3.54327494093812,0.242375087259735,14.6189733482842,2.12581737060193e-48,1.144256630016e-44,"ENSG00000123358.20","ENSG00000123358","NR4A1","nuclear receptor subfamily 4 group A member 1"
